state_id,episode,seed,step,teacher_macro,num_candidates,beneficial_candidates,regret_candidates,teacher_reward,teacher_success,teacher_cost_ratio
ep14_step2_seed14,14,,2,direct_solve,2,1,1,-60.09095184119612,False,0.5431818181818182
ep14_step3_seed14,14,,3,direct_solve,3,1,2,-74.75584559064708,False,0.6053030303030303
ep14_step4_seed14,14,,4,direct_solve,3,1,2,-84.77775730130936,False,0.5643939393939394
ep14_step5_seed14,14,,5,research_context,3,2,1,-77.82593350001079,False,0.5840909090909091
ep14_step6_seed14,14,,6,research_context,3,2,1,-89.03791292287556,False,0.6053030303030303
ep14_step9_seed14,14,,9,direct_solve,2,2,0,-93.2204011054263,False,0.5643939393939394
ep14_step10_seed14,14,,10,direct_solve,2,2,0,-82.73128214088621,False,0.6053030303030303
ep14_step11_seed14,14,,11,decompose_shallow,1,1,0,-69.9980783156995,False,0.6053030303030303
ep14_step12_seed14,14,,12,direct_solve,3,2,1,-75.04290890743573,False,0.5643939393939394
ep14_step13_seed14,14,,13,direct_solve,1,0,1,-60.13735055445813,False,0.5840909090909091
ep14_step14_seed14,14,,14,direct_solve,2,2,0,-66.24138655255678,False,0.6053030303030303
